order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,tax_rate
6a512270-7733-4e57-b9e1-998bcdacb847,b8563f09-08a9-4a6e-a510-249f861f9d37,c8ec039e-2582-4f19-9919-eb471da9ca3e,1,170.40,0.00,170.40,0.05
3c4d1334-792c-4b72-9401-460997bdba83,b8563f09-08a9-4a6e-a510-249f861f9d37,c52a789d-ab3c-4560-b9ac-2b6a7d4d433e,1,67.16,0.00,67.16,0.05
f26e34ae-32fc-4d1c-a1ec-44df1704d2cf,91f380df-19b0-4404-8bd4-dd5be42065a2,e63ba10f-33c0-42fd-8444-ca6c381ed03a,1,562.31,0.00,562.31,0.08
95b982a7-3f94-4e96-862e-6f509eccb7ba,95a038b5-08e2-4da8-b7ae-64a529f20f90,f1ff4827-655c-4de1-acce-0d84bc185f8e,2,55.74,0.00,111.48,0.05
4a67ac86-3f45-4318-b48a-eedb0e933d4d,7dee6906-64fd-4467-a6e2-74ad755c5d5d,5a2e10d8-8631-42be-9598-ac804892ff1f,4,568.39,0.00,2273.56,0.08
2c4a0b92-3d4b-4f7c-971f-3ddbf252f818,7dee6906-64fd-4467-a6e2-74ad755c5d5d,b2b24ff7-e81b-44e0-b2f6-85b77375e056,3,72.80,0.00,218.40,0.07
e4081d38-a9a8-4c25-b775-9dc1a095a4fa,95fb3f6f-634e-4087-ae5e-dd25c570eda8,cf21ca49-8adb-4fca-b32f-aa52f137a93a,4,577.54,0.00,2310.16,0.05
92d4a7a8-a29d-42fb-8d21-c5568497c36e,dfa0814e-523c-4de7-98d9-7a75ed6aaf51,dfa11a94-3599-4f14-8b55-08595aab904b,4,70.15,7.02,252.52,0.08
afddd6ee-7fa8-46ee-8266-eec334a43cd8,dfa0814e-523c-4de7-98d9-7a75ed6aaf51,dd8be7b9-8969-465a-bcc5-997e49c058f3,2,547.42,54.74,985.36,0.05
55f9514c-1e57-4dd7-82bd-eea1623133ec,dfa0814e-523c-4de7-98d9-7a75ed6aaf51,62436d58-d482-4bd9-b89f-41e4ca056d9f,4,541.59,0.00,2166.36,0.08
2c28bb50-f1c3-49f0-9a13-ae9c860d4ac5,dfa0814e-523c-4de7-98d9-7a75ed6aaf51,1dd5b4fe-e2b6-4837-bf4c-d162042af450,2,473.73,0.00,947.46,0.05
b8f1628e-a8f9-443f-b6a3-f92066115b28,6afbde11-7f11-4d04-b62a-d1d8e2338b53,3be727c5-a49d-4dd9-a342-bfc716da63d8,2,154.51,0.00,309.02,0.05
c38dd0b0-dfb8-40de-8a09-856c73700091,6afbde11-7f11-4d04-b62a-d1d8e2338b53,dcbbbbe9-36f9-4c7e-bb19-b61cf5a0a40d,1,214.60,0.00,214.60,0.07
4fdb3ad5-c3d4-42de-b918-c4b1a12610d5,6afbde11-7f11-4d04-b62a-d1d8e2338b53,83938ef4-8d35-4f6b-8806-6d8618cb1f60,4,528.25,0.00,2113.00,0.05
84dc2111-29d0-47b2-8b02-6f11d4cdaee6,6afbde11-7f11-4d04-b62a-d1d8e2338b53,cde45a4a-4fd0-4525-a357-58ea44c17b0d,1,120.83,0.00,120.83,0.07
cec21824-ace1-43fa-9525-d754a4ffbf52,00a4ff0f-d1c5-4e4b-afdf-d7ed0d079d28,32a2866c-6fb4-4f6b-b038-247c46160c39,4,415.88,0.00,1663.52,0.07
a3411a39-7b7d-4f64-801a-73109f91b059,00a4ff0f-d1c5-4e4b-afdf-d7ed0d079d28,249dd355-53ed-44cf-b805-b2020937fb63,1,429.85,0.00,429.85,0.05
f92882eb-afe8-4929-b32f-854296a20c19,00a4ff0f-d1c5-4e4b-afdf-d7ed0d079d28,6a5b6182-eb50-4bc2-874b-3543768dc87a,1,276.05,0.00,276.05,0.08
76d2d76d-94d2-45f6-93da-eb5e98a88c26,226c11d6-bfef-4875-bb6a-b55a2247e891,d18fd75a-d45f-4809-97dc-7a9d0a76d003,4,464.38,0.00,1857.52,0.08
868811e4-3fbd-485c-adba-5a4ecdef7ad4,226c11d6-bfef-4875-bb6a-b55a2247e891,5a62e74f-56a5-4c49-8e16-32cef2dfbe03,4,235.60,0.00,942.40,0.05
19276c6b-bb70-44b4-b946-8bef4d3b889a,226c11d6-bfef-4875-bb6a-b55a2247e891,a9b8e765-f251-41b6-ad7d-e028a8c9321f,2,306.40,0.00,612.80,0.08
882cc68c-d0cf-4275-876b-f0b0e9142ab5,4ac9a32a-3255-408e-bb6a-691d468bf642,cda9624b-ab61-479d-a13e-124c1dc0bc14,3,359.65,0.00,1078.95,0.08
e681bcb3-93f2-41f3-819b-692b4c8dbd18,bc0641df-b1e5-460a-b24c-e444173ce049,c21dedeb-d4d7-48f6-85ed-b77d6bffe069,1,74.43,0.00,74.43,0.05
616b3dff-4f45-474d-bb21-5096aaa7636f,52f63418-ccbe-449d-a996-540ce8dc05e8,83938ef4-8d35-4f6b-8806-6d8618cb1f60,4,528.25,52.83,1901.68,0.08
d7e01511-4f22-443a-bc18-0f27c107e1af,52f63418-ccbe-449d-a996-540ce8dc05e8,f10ff681-56d3-4388-a793-40c09d3a9fa2,3,133.45,0.00,400.35,0.05
2317bec5-4c17-4045-8cae-a8c68af1143d,d31f12ea-e95d-4fd0-b54c-dca44f4c0716,d6fcfc41-2dcd-45dd-aed4-6ec359a3f896,4,496.12,0.00,1984.48,0.05
0150a923-f2dd-4eb5-9552-aa1e7f227804,19d7a062-0e0d-49a1-90de-9daa3f65ed6e,9e600fce-b788-4486-a8c1-8d0afa7de911,1,203.00,0.00,203.00,0.08
ef592aea-b8ed-424a-ac0b-2b0997224a8b,19d7a062-0e0d-49a1-90de-9daa3f65ed6e,235412d3-7a84-4484-9690-8aab6e470691,3,402.63,0.00,1207.89,0.05
942e42e6-c62e-462b-826d-55f7278472df,19d7a062-0e0d-49a1-90de-9daa3f65ed6e,d3b82dcf-a031-4ea1-8395-e902f2ca5fb0,4,240.46,0.00,961.84,0.07
af067ed5-494e-4fe4-996c-6488361d084f,220aa578-5b52-4f3c-b3bb-e3d6c06e919f,e8c5b9ef-39c3-4334-a10e-888258a5140f,1,162.87,16.29,146.58,0.08
3e32280b-fc5b-4a77-955b-e887fa35ba0c,220aa578-5b52-4f3c-b3bb-e3d6c06e919f,848ef576-aed4-44aa-a611-9bd5c71b4b39,3,503.91,0.00,1511.73,0.08
6cfca1aa-39f5-46ef-a186-f905f7466694,220aa578-5b52-4f3c-b3bb-e3d6c06e919f,de5a6052-4ac8-4f33-a935-7b09eac3bf6b,1,593.89,0.00,593.89,0.08
948eed83-ae2d-412b-80f9-26f62d4ac131,29cdee20-e63c-43d4-8aca-68b7fdd13841,8e8e6698-196d-4fca-9edf-c0f4d27dc0cf,4,92.51,0.00,370.04,0.05
39fcf248-a4f0-4674-94fc-845d78347fe2,29cdee20-e63c-43d4-8aca-68b7fdd13841,d640e791-04aa-4acf-ad23-899fab4c786d,1,231.04,23.10,207.94,0.07
dc51ba9f-65ff-42fa-b21b-a52293c17cde,29cdee20-e63c-43d4-8aca-68b7fdd13841,44420d6e-2c8b-46b0-93f0-8a22a8818d3b,4,227.70,0.00,910.80,0.05
fc383371-84bc-4588-9c13-c3c574b854ab,29cdee20-e63c-43d4-8aca-68b7fdd13841,f1aa186b-a67d-43e9-bc49-891e182950e7,3,27.50,2.75,74.25,0.05
162d1e2f-f5ae-490e-a79b-323daea3c2fa,6d8dc7c9-6188-47a3-b151-4e503a85224d,869b700e-ebcf-4e19-8cb9-906e3dd6e9db,3,376.46,37.65,1016.43,0.07
69492ec8-7c78-488c-8ac8-57168ce541e7,6d8dc7c9-6188-47a3-b151-4e503a85224d,5a62e74f-56a5-4c49-8e16-32cef2dfbe03,1,235.60,0.00,235.60,0.05
73e5f2c7-8bb2-404c-bf76-7678c9299a05,6d8dc7c9-6188-47a3-b151-4e503a85224d,b2b24ff7-e81b-44e0-b2f6-85b77375e056,4,72.80,0.00,291.20,0.07
433c3195-9866-445f-9211-378b3da5315e,6d8dc7c9-6188-47a3-b151-4e503a85224d,b67d92be-c98c-4c4d-be90-cbdbd4adc926,2,533.44,0.00,1066.88,0.05
f751002f-1dc8-456f-8071-a1c784998270,2c03e1e8-94b7-4a5a-b296-69692c96f4e1,35841687-3a0d-445d-b23e-fc522ff598fa,2,92.75,0.00,185.50,0.07
14e02302-e574-4dbf-88b7-677ebb1bd364,2c03e1e8-94b7-4a5a-b296-69692c96f4e1,299fb6cc-7ae8-4e9f-b704-04cd9b79d2d1,4,130.22,0.00,520.88,0.08
3e39f43f-e67d-4cee-bce5-b01c8d750a11,2c03e1e8-94b7-4a5a-b296-69692c96f4e1,bc4a2f1b-5519-498e-98aa-d26e2a2f26c6,3,226.72,22.67,612.15,0.05
0c285d7a-a31f-4ecc-9f2b-30ebd47e828a,bb657188-afa0-4fbc-bec3-9bb67c14dcca,3d59beb5-7eab-4c39-8e37-9b8b5b22eee0,4,298.28,0.00,1193.12,0.08
711af425-a191-43a6-aca6-d31984ecb4f6,bb657188-afa0-4fbc-bec3-9bb67c14dcca,5a9ee13b-6fd1-4c6d-acb7-d97f95c8ae62,4,285.26,0.00,1141.04,0.08
a3bd5087-4e62-446d-b1c0-4b96bf50f8d3,bb657188-afa0-4fbc-bec3-9bb67c14dcca,848ef576-aed4-44aa-a611-9bd5c71b4b39,1,503.91,0.00,503.91,0.05
c4dadb1b-bcad-441b-b5db-d0aaa8553c29,be95ff0b-e08b-4cc1-a039-68279d805600,235412d3-7a84-4484-9690-8aab6e470691,1,402.63,0.00,402.63,0.07
c4f9c518-2d46-49ee-af45-6ed564b7bd4f,be95ff0b-e08b-4cc1-a039-68279d805600,eecb7f06-97a8-4640-b4bc-198102caf376,1,357.41,35.74,321.67,0.08
0e8fddb1-1403-439c-ba8a-6b524b88f42f,be95ff0b-e08b-4cc1-a039-68279d805600,72536459-c926-4858-ba98-c383c4af8330,4,337.29,33.73,1214.24,0.07
34964141-3d92-4c21-a8b1-829a227e4b2b,f21dc82c-8495-4be4-9c9d-a3c01b4f12f0,a873ab07-af57-47b3-8d81-2af0ed754b69,4,567.12,0.00,2268.48,0.08
ca737fef-e9e3-43e2-9089-a11c183948e3,f21dc82c-8495-4be4-9c9d-a3c01b4f12f0,aaf41fdd-a510-4386-ba98-85ad6ab743f3,1,155.71,0.00,155.71,0.05
df68e230-a88c-4d27-be54-c049081d9542,f21dc82c-8495-4be4-9c9d-a3c01b4f12f0,1dd5b4fe-e2b6-4837-bf4c-d162042af450,1,473.73,47.37,426.36,0.05
